Row ID,Order ID,Order Date,Order (M/Y),Quantity, Quote ,Discount %, Rate , Sale Amount ,Customer Name,Company Name,Sector,Industry,City,Zip Code,Country,Region,Project Complete Date,Days to Complete,Product Key,Product Category,Product Sub Category,Consultant,Manager,Hourly Wage,RowCount,Wage Margin
15,70,12/1/13,12/1/13,46," $13,443 ",5%, $292 ," $12,770.75 ",Helen Kimmel,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),East Meadow,11554,Croatia,Central,12/22/13,21,Consulting - Market Research,Consulting,Market Research,Emma Watson,Josh Martinez,67,1,77%
16,96,4/1/12,4/1/12,37," $10,813 ",1%, $292 ," $10,704.63 ",Keith Beeghly,Altera Corporation,Technology,Semiconductors,Little Rock,72209,Slovakia,Central,4/18/12,17,Consulting - Market Research,Consulting,Market Research,Jayden Hamilton,Josh Martinez,71,1,76%
17,97,1/1/13,1/1/13,26," $8,300 ",3%, $319 ," $8,051.42 ",Craig Donatelli,"O'Reilly Automotive, Inc.",Consumer Services,Other Specialty Stores,Prescott Valley,86314,Latvia,North,1/29/13,28,Development - Scala,Development,Scala,Daniel Tusk,#N/A,45,1,86%
18,129,11/1/15,11/1/15,4, $500 ,9%, $125 , $454.89 ,Pauline Wardle,"Mattel, Inc.",Consumer Non-Durables,Recreational Products/Toys,Moore,73160,Romania,Central,11/27/15,26,Development - Python,Development,Python,Daniel Tusk,Josh Martinez,45,1,64%
19,130,5/1/15,5/1/15,3, $716 ,5%, $239 , $679.89 ,Roy Smith,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,Cleveland,37311,Belgium,West,5/9/15,8,Consulting - Strategy,Consulting,Strategy,Emily Taylor,Bob Turner,62,1,74%
20,130,5/1/15,5/1/15,29," $3,624 ",2%, $125 ," $3,551.63 ",Roy Smith,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,Cleveland,37311,Malta,South,5/8/15,7,Development - Python,Development,Python,Alexander Edison,Frank Mitchell,70,1,44%
21,130,5/1/15,5/1/15,23," $7,177 ",5%, $312 ," $6,818.28 ",Roy Smith,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,Cleveland,37311,Estonia,North,5/10/15,9,Development - Big Data,Development,Big Data,William Bufont,#N/A,62,1,80%
22,132,6/1/13,6/1/13,27," $7,890 ",3%, $292 ," $7,653.68 ",Emily Fortune,"Keurig Green Mountain, Inc.",Consumer Non-Durables,Packaged Foods,Avenel,07001,Ireland,West,6/11/13,10,Consulting - Market Research,Consulting,Market Research,Abigail Young,Bob Turner,50,1,83%
23,132,6/1/13,6/1/13,30," $6,449 ",5%, $215 ," $6,126.43 ",Emily Fortune,"Keurig Green Mountain, Inc.",Consumer Non-Durables,Packaged Foods,Lewiston,04240,Poland,North,6/13/13,12,Training - Tableau,Training,Tableau,Ethan Bird,#N/A,60,1,72%
24,134,4/1/15,4/1/15,11," $3,433 ",1%, $312 ," $3,398.22 ",Michael Olson,Viacom Inc.,Consumer Services,Television Services,Brookfield,53005,Luxembourg,West,5/2/15,31,Development - Big Data,Development,Big Data,Jacob Manziel,Bob Turner,57,1,82%
25,135,10/1/14,10/1/14,25," $5,092 ",9%, $204 ," $4,633.55 ",Anne Van Hugh,"Keurig Green Mountain, Inc.",Consumer Non-Durables,Packaged Foods,Troy,12180,Malta,South,10/22/14,21,Consulting - Business Model,Consulting,Business Model,William Bufont,Frank Mitchell,62,1,70%
26,166,9/1/14,9/1/14,10," $2,922 ",2%, $292 ," $2,863.92 ",Valerie Pelletier,"Discovery Communications, Inc.",Consumer Services,Television Services,Tamarac,33319,Sweden,North,9/13/14,12,Consulting - Market Research,Consulting,Market Research,Isabella Douglas,#N/A,75,1,74%
27,193,8/1/13,8/1/13,14," $4,369 ",6%, $312 ," $4,106.57 ",Justin McVee,"TripAdvisor, Inc.",Technology,"Computer Software: Programming, Data Processing",Bethpage,11714,Denmark,West,8/9/13,8,Development - Big Data,Development,Big Data,Ethan Bird,Bob Turner,60,1,81%
28,194,4/1/15,4/1/15,49," $11,022 ",10%, $225 ," $9,920.10 ",Maria Ferguson,Liberty Media Corporation,Consumer Services,Broadcasting,West Linn,97068,Denmark,West,4/6/15,5,Training - SQL,Training,SQL,Olivia Sullivan,Bob Turner,53,1,76%
29,194,4/1/15,4/1/15,6, $960 ,4%, $160 , $921.63 ,Maria Ferguson,Liberty Media Corporation,Consumer Services,Broadcasting,West Linn,97068,Finland,North,4/6/15,5,Development - Front End Web,Development,Front End Web,Ava Wilson,#N/A,67,1,58%
30,195,12/1/13,12/1/13,34," $4,900 ",3%, $144 ," $4,753.29 ",Brad Fisher,Vodafone Group Plc,Public Utilities,Telecommunications Equipment,Long Beach,90805,Lithuania,North,12/29/13,28,Development - Business Logic,Development,Business Logic,Ethan Bird,#N/A,60,1,58%
31,197,4/1/14,4/1/14,23," $3,680 ",1%, $160 ," $3,643.33 ",Penelope Pistole,Microsoft Corporation,Technology,Computer Software: Prepackaged Software,Miramar,33023,Romania,Central,4/8/14,7,Development - Front End Web,Development,Front End Web,Mason Gibson,Josh Martinez,71,1,56%
32,224,6/1/12,6/1/12,25," $5,624 ",9%, $225 ," $5,117.51 ",Bart Armstrong,"Netflix, Inc.",Consumer Services,Consumer Electronics/Video Chains,Lemon Grove,91945,Cyprus,South,6/18/12,17,Training - SQL,Training,SQL,Mia Moore,Frank Mitchell,51,1,77%
33,224,6/1/12,6/1/12,44," $5,499 ",4%, $125 ," $5,278.70 ",Bart Armstrong,"Netflix, Inc.",Consumer Services,Consumer Electronics/Video Chains,Lemon Grove,91945,Cyprus,South,6/18/12,17,Development - Python,Development,Python,Madison Hill,Frank Mitchell,58,1,54%
34,224,6/1/12,6/1/12,33," $10,298 ",4%, $312 ," $9,885.73 ",Bart Armstrong,"Netflix, Inc.",Consumer Services,Consumer Electronics/Video Chains,Lemon Grove,91945,UnitedKingdom,West,6/18/12,17,Development - Big Data,Development,Big Data,Emma Watson,Bob Turner,67,1,79%
35,225,5/1/14,5/1/14,24," $3,459 ",6%, $144 ," $3,251.49 ",Karen Gilpin,"Verisk Analytics, Inc.",Technology,EDP Services,Holbrook,11741,Hungary,Central,5/25/14,24,Development - Business Logic,Development,Business Logic,Sophia Dixon,Josh Martinez,71,1,51%
36,225,5/1/14,5/1/14,1, $144 ,5%, $144 , $136.92 ,Karen Gilpin,"Verisk Analytics, Inc.",Technology,EDP Services,Holbrook,11741,Netherlands,West,5/26/14,25,Development - Business Logic,Development,Business Logic,Alexander Edison,Bob Turner,70,1,51%
37,229,12/1/13,12/1/13,43," $9,673 ",11%, $225 ," $8,608.67 ",Matt French,"Paychex, Inc.",Consumer Services,Diversified Commercial Services,Blaine,55434,Cyprus,South,12/30/13,29,Training - SQL,Training,SQL,Madison Hill,Frank Mitchell,58,1,74%
38,229,12/1/13,12/1/13,24," $4,662 ",2%, $194 ," $4,568.95 ",Peter Abelman,NVIDIA Corporation,Technology,Semiconductors,Atlanta,30318,Denmark,West,12/29/13,28,Development - Java,Development,Java,Elizabeth Carter,Bob Turner,52,1,73%
39,230,10/1/13,10/1/13,47," $6,774 ",6%, $144 ," $6,367.50 ",Erin Dona,KLA-Tencor Corporation,Capital Goods,Electronic Components,Burleson,76028,Lithuania,North,10/28/13,27,Development - Business Logic,Development,Business Logic,Elizabeth Carter,#N/A,52,1,64%
40,230,10/1/13,10/1/13,11," $3,215 ",6%, $292 ," $3,021.73 ",Erin Dona,KLA-Tencor Corporation,Capital Goods,Electronic Components,Burleson,76028,Sweden,North,10/28/13,27,Consulting - Market Research,Consulting,Market Research,Noah Smith,#N/A,59,1,80%
41,231,9/1/12,9/1/12,2, $407 ,6%, $204 , $382.61 ,Sean Witt,"Twenty-First Century Fox, Inc.",Consumer Services,Television Services,Hollywood,33021,Sweden,North,9/30/12,29,Development - .Net,Development,Python,Jacob Manziel,#N/A,57,1,72%
42,258,12/1/13,12/1/13,21," $2,624 ",0%, $125 ," $2,624.36 ",Liz Vernon,Google Inc.,Technology,"Computer Software: Programming, Data Processing",Auburn,04210,Ireland,West,12/30/13,29,Development - Python,Development,Java,Emma Watson,Bob Turner,67,1,46%
43,258,12/1/13,12/1/13,7," $2,184 ",0%, $312 ," $2,184.35 ",Liz Vernon,Google Inc.,Technology,"Computer Software: Programming, Data Processing",Brunswick,04011,Belgium,West,12/29/13,28,Development - Big Data,Development,Java,Abigail Young,Bob Turner,50,1,84%
44,258,12/1/13,12/1/13,33," $6,411 ",2%, $194 ," $6,282.31 ",Liz Vernon,Google Inc.,Technology,"Computer Software: Programming, Data Processing",Hudson,03051,Slovakia,Central,12/30/13,29,Development - Java,Development,PHP,Michael Alister,Josh Martinez,68,1,65%
45,261,6/1/13,6/1/13,47," $13,735 ",4%, $292 ," $13,185.73 ",Sonia Kane,Marriott International,Consumer Services,Hotels/Resorts,Garden City,67846,Slovenia,Central,6/29/13,28,Consulting - Market Research,Consulting,Java,Ethan Bird,Josh Martinez,60,1,79%
46,263,5/1/12,5/1/12,25," $4,856 ",9%, $194 ," $4,419.37 ",Paul Carmichael,Liberty Media Corporation,Consumer Services,Broadcasting,Davis,95616,Netherlands,West,5/17/12,16,Development - Java,Development,Market Research,Abigail Young,Bob Turner,50,1,74%
47,290,1/1/12,1/1/12,24," $2,999 ",5%, $125 ," $2,849.30 ",Dorris Engle,Costco Wholesale Corporation,Consumer Services,Department/Specialty Retail Stores,Deer Park,11729,Finland,North,1/6/12,5,Development - Python,Development,Python,Ava Wilson,#N/A,67,1,46%
48,292,1/1/15,1/1/15,43," $5,761 ",8%, $134 ," $5,299.74 ",Valerie Pelletier,"Discovery Communications, Inc.",Consumer Services,Television Services,Taylors,29687,Germany,West,1/13/15,12,Development - PHP,Development,PHP,Alexander Edison,Bob Turner,70,1,48%
49,293,10/1/15,10/1/15,49," $9,972 ",7%, $204 ," $9,274.27 ",Barry Myrick,Monster Beverage Corporation,Consumer Non-Durables,Beverages (Production/Distribution),Tinley Park,60477,Sweden,North,10/2/15,1,Development - .Net,Development,Python,Ethan Bird,#N/A,60,1,71%
50,293,10/1/15,10/1/15,27," $5,245 ",1%, $194 ," $5,192.52 ",Barry Myrick,Monster Beverage Corporation,Consumer Non-Durables,Beverages (Production/Distribution),Tinley Park,60477,Finland,North,10/3/15,2,Development - Java,Development,Market Research,Sophia Dixon,#N/A,71,1,63%
51,294,7/1/13,7/1/13,35," $10,922 ",6%, $312 ," $10,266.43 ",Sanjit Hendricks,"Discovery Communications, Inc.",Consumer Services,Television Services,Urbandale,50322,Finland,North,7/16/13,15,Development - Big Data,Development,Market Research,Alexander Edison,#N/A,70,1,78%
52,322,3/1/15,3/1/15,20," $5,845 ",8%, $292 ," $5,377.16 ",Giulietta Black,"TripAdvisor, Inc.",Technology,"Computer Software: Programming, Data Processing",Allen Park,48101,UnitedKingdom,West,3/20/15,19,Consulting - Market Research,Consulting,Java,Abigail Young,Bob Turner,50,1,83%
53,322,3/1/15,3/1/15,46," $5,749 ",10%, $125 ," $5,173.73 ",Giulietta Black,"TripAdvisor, Inc.",Technology,"Computer Software: Programming, Data Processing",Ann Arbor,48104,Latvia,North,3/20/15,19,Development - Python,Development,Database,Michael Alister,#N/A,68,1,46%
54,323,3/1/12,3/1/12,20," $2,679 ",7%, $134 ," $2,491.79 ",Dario Wiediger,"Stericycle, Inc.",Basic Industries,Environmental Services,Scottsdale,85254,Lithuania,North,3/27/12,26,Development - PHP,Development,Business Logic,Sophia Dixon,#N/A,71,1,47%
55,323,3/1/12,3/1/12,2, $250 ,6%, $125 , $234.94 ,Dario Wiediger,"Stericycle, Inc.",Basic Industries,Environmental Services,Scottsdale,85254,Finland,North,3/27/12,26,Development - Python,Development,Market Research,Olivia Sullivan,#N/A,53,1,58%
56,324,3/1/15,3/1/15,25," $7,306 ",2%, $292 ," $7,159.80 ",Frank Price,"Micron Technology, Inc.",Technology,Semiconductors,Sanford,27237,UnitedKingdom,West,3/21/15,20,Consulting - Market Research,Consulting,Tableau,Noah Smith,Bob Turner,59,1,80%
57,325,10/1/13,10/1/13,9," $2,630 ",6%, $292 ," $2,472.32 ",Craig Donatelli,"O'Reilly Automotive, Inc.",Consumer Services,Other Specialty Stores,Sanford,04073,Sweden,North,10/20/13,19,Consulting - Market Research,Consulting,Business Model,Mason Gibson,#N/A,71,1,76%
58,326,6/1/14,6/1/14,34," $6,605 ",3%, $194 ," $6,406.64 ",Michelle Crier,"Automatic Data Processing, Inc.",Technology,EDP Services,Columbia,21044,Ireland,West,6/4/14,3,Development - Java,Development,Javascript,Elizabeth Carter,Bob Turner,52,1,73%
59,326,6/1/14,6/1/14,17," $4,195 ",5%, $247 ," $3,984.95 ",Michelle Crier,"Automatic Data Processing, Inc.",Technology,EDP Services,Crofton,21114,Greece,South,6/4/14,3,Development - Database,Development,Javascript,Olivia Sullivan,Frank Mitchell,53,1,79%
60,353,12/1/13,12/1/13,21," $3,027 ",2%, $144 ," $2,966.12 ",Dean Barcio,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software,Redwood City,94061,Malta,South,4/1/14,121,Development - Business Logic,Development,Scala,Sophia Dixon,Frank Mitchell,71,1,51%
61,355,6/1/12,6/1/12,16," $4,676 ",0%, $292 ," $4,675.79 ",Henry Foster,Avago Technologies Limited,Technology,Semiconductors,College Station,77840,Austria,Central,6/18/12,17,Consulting - Market Research,Consulting,Business Logic,Ava Wilson,Josh Martinez,67,1,77%
62,358,9/1/13,9/1/13,33," $7,094 ",2%, $215 ," $6,951.89 ",Ricardo Craven,"TripAdvisor, Inc.",Technology,"Computer Software: Programming, Data Processing",Lewiston,83501,Austria,Central,9/21/13,20,Training - Tableau,Training,.Net,Abigail Young,Josh Martinez,50,1,77%
63,358,9/1/13,9/1/13,33," $6,721 ",7%, $204 ," $6,250.71 ",Ricardo Craven,"TripAdvisor, Inc.",Technology,"Computer Software: Programming, Data Processing",Lewiston,83501,Slovakia,Central,9/19/13,18,Consulting - Business Model,Consulting,Market Research,Alexander Edison,Josh Martinez,70,1,66%
64,359,12/1/12,12/1/12,30," $7,096 ",8%, $237 ," $6,528.67 ",Cari Radford,Biogen Idec Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Pleasant Grove,84062,Latvia,North,12/19/12,18,Training - Javascript,Training,Strategy,Alexander Edison,#N/A,70,1,70%
65,384,3/1/15,3/1/15,50," $11,827 ",2%, $237 ," $11,590.75 ",Sonia Workman,Liberty Interactive Corporation,Consumer Services,Catalog/Specialty Distribution,Bend,97701,Greece,South,3/9/15,8,Training - Javascript,Training,Big Data,Elizabeth Carter,Frank Mitchell,52,1,78%
66,386,1/1/14,1/1/14,4," $1,277 ",2%, $319 ," $1,251.45 ",Tracy Miller,"Charter Communications, Inc.",Consumer Services,Television Services,Mount Vernon,43050,Portugal,West,1/26/14,25,Development - Scala,Development,Python,Madison Hill,Bob Turner,58,1,82%
67,386,1/1/14,1/1/14,4, $577 ,9%, $144 , $524.62 ,Tracy Miller,"Charter Communications, Inc.",Consumer Services,Television Services,Mount Vernon,43050,Slovakia,Central,1/26/14,25,Development - Business Logic,Development,Python,Mia Moore,Josh Martinez,51,1,65%
68,388,12/1/15,12/1/15,46," $9,362 ",6%, $204 ," $8,800.07 ",Jennifer Grady,"Fiserv, Inc.",Technology,EDP Services,Bartlesville,74006,Belgium,West,12/18/15,17,Development - .Net,Development,Market Research,Mia Moore,Bob Turner,51,1,75%
69,416,9/1/13,9/1/13,20," $5,845 ",1%, $292 ," $5,786.29 ",Stuart Engle,The Priceline Group Inc.,Miscellaneous,Business Services,Grove City,43123,Finland,North,10/1/13,30,Consulting - Market Research,Consulting,SQL,Mia Moore,#N/A,51,1,83%
70,417,2/1/12,2/1/12,39," $9,304 ",7%, $239 ," $8,652.45 ",Robert Pistek,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software,East Los Angeles,90022,Greece,South,2/6/12,5,Consulting - Strategy,Consulting,Business Logic,Olivia Sullivan,Frank Mitchell,53,1,78%
71,417,2/1/12,2/1/12,3, $936 ,10%, $312 , $842.53 ,Robert Pistek,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software,East Los Angeles,90022,Ireland,West,2/7/12,6,Development - Big Data,Development,Big Data,Emily Taylor,Bob Turner,62,1,80%
72,420,10/1/14,10/1/14,8," $1,000 ",9%, $125 , $909.78 ,Tony Lucas,Celgene Corporation,Health Care,Major Pharmaceuticals,Marysville,98270,Spain,West,10/30/14,29,Development - Python,Development,Database,Isabella Douglas,Bob Turner,75,1,40%
73,420,10/1/14,10/1/14,6, $750 ,3%, $125 , $727.32 ,Tony Lucas,Celgene Corporation,Health Care,Major Pharmaceuticals,Marysville,98270,Malta,South,11/1/14,31,Development - Python,Development,Market Research,Noah Smith,Frank Mitchell,59,1,53%
74,448,8/1/14,8/1/14,22," $6,429 ",9%, $292 ," $5,850.58 ",Brad Fisher,Vodafone Group Plc,Public Utilities,Telecommunications Equipment,Long Beach,90805,Estonia,North,8/22/14,21,Consulting - Market Research,Consulting,Market Research,Ava Wilson,#N/A,67,1,77%
75,449,7/1/14,7/1/14,45," $10,123 ",2%, $225 ," $9,920.10 ",Candace Kendrick,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,San Marcos,78666,Bulgaria,Central,7/21/14,20,Training - SQL,Training,.Net,Michael Alister,Josh Martinez,68,1,70%
76,450,3/1/14,3/1/14,29," $4,180 ",5%, $144 ," $3,970.68 ",Matt Miller,PACCAR Inc.,Capital Goods,Auto Manufacturing,Fort Dodge,50501,CzechRepublic,Central,3/5/14,4,Development - Business Logic,Development,Development,Alexander Edison,Josh Martinez,70,1,51%
77,450,3/1/14,3/1/14,35," $10,922 ",5%, $312 ," $10,375.65 ",Matt Miller,PACCAR Inc.,Capital Goods,Auto Manufacturing,Fort Dodge,50501,Slovakia,Central,3/6/14,5,Development - Big Data,Development,Big Data,Emma Watson,Josh Martinez,67,1,79%
78,454,12/1/14,12/1/14,42," $10,363 ",9%, $247 ," $9,430.64 ",Darrin Cousins,Tractor Supply Company,Consumer Services,RETAIL: Building Materials,Altoona,16602,Netherlands,West,12/28/14,27,Development - Database,Development,Development,Noah Smith,Bob Turner,59,1,76%
79,481,10/1/15,10/1/15,44," $12,858 ",1%, $292 ," $12,729.84 ",Art Coram,Liberty Global plc,Consumer Services,Television Services,Highlands Ranch,80126,Croatia,Central,10/9/15,8,Consulting - Market Research,Consulting,.Net,Abigail Young,Josh Martinez,50,1,83%
80,483,7/1/14,7/1/14,30," $8,767 ",8%, $292 ," $8,065.74 ",Clay Polking,Marriott International,Consumer Services,Hotels/Resorts,Rock Island,61201,Ireland,West,7/12/14,11,Consulting - Market Research,Consulting,SQL,Isabella Douglas,Bob Turner,75,1,74%
81,487,8/1/15,8/1/15,19," $3,867 ",7%, $204 ," $3,596.14 ",Valerie Bell,"Citrix Systems, Inc.",Technology,Computer Software: Prepackaged Software,Orlando,32839,Ireland,West,8/18/15,17,Development - .Net,Development,Scala,Abigail Young,Bob Turner,50,1,75%
82,512,5/1/14,5/1/14,6, $754 ,6%, $126 , $708.70 ,Sam Haberlin,"Cisco Systems, Inc.",Technology,Computer Communications Equipment,East Point,30344,Netherlands,West,5/19/14,18,Training - Development,Training,Python,Isabella Douglas,Bob Turner,75,1,40%
83,512,5/1/14,5/1/14,48," $14,978 ",1%, $312 ," $14,828.60 ",Sam Haberlin,"Cisco Systems, Inc.",Technology,Computer Communications Equipment,East Point,30344,Poland,North,5/21/14,20,Development - Big Data,Development,Market Research,Abigail Young,#N/A,50,1,84%
84,513,4/1/14,4/1/14,33," $4,147 ",0%, $126 ," $4,146.63 ",Arthur Howell,Liberty Media Corporation,Consumer Services,Broadcasting,Cleveland,44105,Netherlands,West,4/30/14,29,Training - Development,Training,Python,Emma Watson,Bob Turner,67,1,47%
85,515,8/1/13,8/1/13,19," $3,867 ",8%, $204 ," $3,557.48 ",Carlos McAfee,"Charter Communications, Inc.",Consumer Services,Television Services,Wheeling,60090,Netherlands,West,8/30/13,29,Development - .Net,Development,Python,Jacob Manziel,Bob Turner,57,1,72%
86,515,8/1/13,8/1/13,21," $4,724 ",5%, $225 ," $4,487.66 ",Carlos McAfee,"Charter Communications, Inc.",Consumer Services,Television Services,Wilmette,60091,Bulgaria,Central,8/30/13,29,Training - SQL,Training,Big Data,Ethan Bird,Josh Martinez,60,1,73%
87,548,9/1/12,9/1/12,41," $13,089 ",4%, $319 ," $12,565.57 ",Sung Fox,"Regeneron Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,Murray,42071,Bulgaria,Central,9/21/12,20,Development - Scala,Development,Python,Ava Wilson,Josh Martinez,67,1,79%
88,548,9/1/12,9/1/12,29," $3,624 ",2%, $125 ," $3,551.63 ",Sung Fox,"Regeneron Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,Murray,42071,Denmark,West,9/21/12,20,Development - Python,Development,Big Data,Emily Taylor,Bob Turner,62,1,50%
89,548,9/1/12,9/1/12,26," $7,598 ",4%, $292 ," $7,294.23 ",Sung Fox,"Regeneron Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,Murray,42071,Cyprus,South,9/22/12,21,Consulting - Market Research,Consulting,Python,Emily Taylor,Frank Mitchell,62,1,79%
90,549,7/1/15,7/1/15,13," $1,625 ",3%, $125 ," $1,575.86 ",Ken Budd,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,Monroeville,15146,Denmark,West,7/13/15,12,Development - Python,Development,Market Research,Madison Hill,Bob Turner,58,1,54%
91,549,7/1/15,7/1/15,5, $625 ,5%, $125 , $593.60 ,Ken Budd,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,Monroeville,15146,Spain,West,7/13/15,12,Development - Python,Development,Java,Emily Taylor,Bob Turner,62,1,50%
92,549,7/1/15,7/1/15,30," $9,361 ",5%, $312 ," $8,893.41 ",Ken Budd,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,Monroeville,15146,Netherlands,West,7/12/15,11,Development - Big Data,Development,Big Data,Mason Gibson,Bob Turner,71,1,77%
93,610,8/1/14,8/1/14,38," $4,749 ",2%, $125 ," $4,653.86 ",Joe Zeldin,Liberty Media Corporation,Consumer Services,Broadcasting,Fayetteville,72701,Finland,North,8/3/14,2,Development - Python,Development,SQL,Noah Smith,#N/A,59,1,53%
94,611,1/1/13,1/1/13,47," $14,666 ",4%, $312 ," $14,079.68 ",Arthur Howell,Liberty Media Corporation,Consumer Services,Broadcasting,Cleveland,44105,Denmark,West,1/28/13,27,Development - Big Data,Development,Javascript,Abigail Young,Bob Turner,50,1,84%
95,612,10/1/15,10/1/15,50," $6,248 ",10%, $125 ," $5,623.62 ",Sheri Talbott,"Kraft Foods Group, Inc.",Consumer Non-Durables,Packaged Foods,Van Buren,72956,Slovakia,Central,10/22/15,21,Development - Python,Development,Tableau,Michael Alister,Josh Martinez,68,1,46%
96,612,10/1/15,10/1/15,43," $12,566 ",1%, $292 ," $12,440.52 ",Sheri Talbott,"Kraft Foods Group, Inc.",Consumer Non-Durables,Packaged Foods,Van Buren,72956,Malta,South,10/22/15,21,Consulting - Market Research,Consulting,Python,Alexander Edison,Frank Mitchell,70,1,76%
97,613,6/1/14,6/1/14,12," $2,331 ",3%, $194 ," $2,261.17 ",Carl Block,CA Inc.,Technology,Computer Software: Prepackaged Software,Waukegan,60087,Sweden,North,6/17/14,16,Development - Java,Development,Big Data,Elizabeth Carter,#N/A,52,1,73%
